Headline,Label
"Episode #159 – SUNDAY WIRE: ‘Tick-Tock USA’ with guests Dr Marcus Papadopoulos, Basil Valentin
",1
"Kinky Cakes: Inside The World Of Adult Bakeries
",0
"Trump to Bannon and Kushner: Work this out
",0
"She Disappeared Without A Trace In 1850, Then They Found This Years Late
",1
"The Orlando Mass Shooting: Further Proof That We Need Stricter Gun Laws
",1
"Adam Galinsky: What Drives Us To Speak Up?
",0
"U.S. Soldier Killed In Afghanistan
",0
"Would You Board the Titanic II? An Eerily Similar Replica of the Doomed Ship Will Set Sail in 2017
",1
"Former Trump Campaign Head Manafort Was Paid Millions By A Putin Ally, AP Says
",0
"Longtime mistress says Bill Clinton had 2,000 sex partners, Hillary is a lesbian, It was a marriage of convenience
",1
"Researchers Test Hotter, Faster And Cleaner Way To Fight Oil Spills
",0
"HE’S NEVER SOLD AN ORIGINAL PAINTING UNTIL NOW…And This One’s Going In The White Hous
",1
"New Device Restrictions On Some Flights: Few Facts, Many Questions
",0
"Hannity (PICS): Donald Trump Reportedly Sent One Of His Planes To Transport 200 Stranded Marines
",1
"Feminist Clapbacks FTW: What To Say Next Time You Run Into A Meninist
",1
"Forget Wikileaks...this is the real October Surprise that is going to stop Hillary
",1
"BREAKING: Weiner Cooperating With FBI On Hillary Email Investigatio
",1
"Senators Whine About FCC’s 25 Mbps Broadband Standard, Insist Nobody Needs That Much Bandwidth
",1
"Taser Changes Its Name To Axon And Offers Free Body Cameras For Police
",0
"Congress Votes To Dismantle The Statue Of Liberty – “Give Me Your Tired And Poor” Is Misleading To Immigrants
",1
"Muslims BUSTED: They Stole Millions In Gov’t Benefit
",1
"CHINA JUST ISSUED A NUCLEAR WARNING TO THE UNITED STATES
",1
"Donald Trump Sues ‘Loser’ Artist Over ‘Obscene’ Billboard, Playing Cards, Says Report
",1
"How Russian Twitter Bots Pumped Out Fake News During The 2016 Election
",0
"‘Cash Me Outside Girl’ Found Dead, Possible Russian Hacking Connection
",1
"SMALL ALIEN CREATURE WITH HELMET CAUGHT ON TAPE IN MEXICO
",1
"Woman's Father Refuses To Give Her Away At Her Wedding, So She Gets A Little Help From Her Boss
",1
"Twitter Withdraws Lawsuit After DHS Drops Demands For Alt-Account's Identity
",0
"WIKI: Clinton out of touch, cronyistic, didn't drive car in 35 years, flew all over world but accomplished nothing..
",1
"WikiLeaks: Clinton Team Told To ‘Undermine Benghazi Hearings
",1
"Netflix’s ‘House of Cards’ Under Fire For Disrespectful Flag Logo
",1
"Christian Anti-Masturbation Mascot Arrested For Public Masturbation At Japanese Embassy
",1
"5 children hurt when bounce houses go airborne
",0
"A Mountain Lion Kitten Is Found, Leading To Excitement And Concern
",0
"Cecil The Lion ‘Truther’ Denies Lion’s Existence, ‘Seeks Hide’
",1
"Will the Syria chemical attack change Trump's mind about refugees too?
",0
"Stabenow To Vote Against Gorsuch, Says Country Needs Mainstream Judges
",0
"Education Department Casts Doubts On Public Service Loan Forgiveness
",0
"Trump Surveillance Flap Throws Monkey Wrench Into House Russia Investigation
",0
"Giant Humanoid-Shape Spotted In The Sky Over Kitwe, Zambia – Locals Ran Away In Terror!
",1
"SAY GOODBYE! These 23 Hollywood Celebs Threatened To Leave The U.S....Let's Hold Them To It! 
",1
"Gorsuch Hearing For Top Court Lacks The High Drama Of Those In Recent Past
",0
"NASA's Cassini Begins Its Final Mission Before Self-Destruction
",0
"China grants Trump dozens of new trademarks
",0
"The Mandela Effect was made by one overlooked 33 year old man, an ascended master
",1
"Michelle Obama Poses In A Pretty Dress, So Racist Conservatives Call Her A ‘Monkey’
",1
"61 Senators sign letter to preserve filibuster rules
",0
"FAKE NEWS CNN ABRUPTLY CUTS FEED OF PRESIDENT TRUMP SPEAKING TO OBAMACARE VICTIMS
",1
"DONALD TRUMP Calls Meeting With Press…Dresses Down Real Fake News Networks: “Everyone at CNN is a liar and you should be ashamed
",1
"Justice Thomas: Civil Forfeiture May Violate Due Process
",1
"Ted Cruz Will Endorse Donald Trump For President If He Makes Masturbation Illegal
",1
"LOL! BRITISH WIFE Of LIB ACTOR Who Said: “There Will Never Be A President Donald Trump”…Warns Americans About President-Elect Trump 
",1
"The Father Of The Web Is Worried About How Ugly It's Become
",0
"Senate Invokes 'Nuclear Option' To Ease Gorsuch Nomination
",0
"Trump's evolution on Syria didn't happen overnight
",0
"Amazon To Refund Millions In Unauthorized In-App Purchases
",0
"Kinky Cakes: Inside The World Of Adult Bakeries
",0
"Anti-Vaxxer Parents Refuse To Check Kids’ Trick-Or-Treat Candy Before They Eat It
",1
"Dan Rather: 'We are a deeply divided country'
",0
"Bison Or Brian? From A Calorie Perspective, Cannibalism Didn't Pay For Paleo Humans
",0
"Trump Reports World Record 39 Under Par, 12 Holes-in-One, During Golf Outing with Japanese Prime Minister
",1
"Young Boy Interrupts Live Weather Forecast To Predict ""Toots And Farts""
",1
"Brexit: Scottish leader seeks UK split as EU divorce looms
",0
"The Race To Fish Slows Down. Why That's Good For Fish, Fishermen And Diners
",0
"Badger Burying A Cow Surprises Scientists
",0
"NBA Cancels 2017 All-Star Game In North Carolina Over Anti-LGBT Law
",1
"At Versailles Palace, An American Looks For Clues To Family History
",0
"Donald Trump: “I Will Pay The Legal Fees Of My Followers Who Attack Protesters”
",1
"Shocking moment two men viciously attacked a Trump supporter while he walked to class in Berkeley less than 24 hours after riots forced a lockdown at the elite school
",1
"Google Hopes To Hire More Black Engineers By Bringing Students To Silicon Valley
",0
"I MEANT WHAT I SAID: GREATEST CONGRESSMAN STEVE KING DOUBLES DOWN, PUNKS CNN WITH NATIONALIST RHETORIC
",1
"Fake News Kingpin CNN Gets DEVASTATING News From Federal Judge
",1
"Obama Signs Executive Order: Appoints Rashad Hussain As New Supreme Court Justice
",1
"SHARIA IN AMERICA? How Minneapolis Muslims Are Still Being Recruited By Terrorist
",1
"Camera Catches Woman’s Spirit Leaving Body After Car Accident
",1
"Legislation Would Reintroduce the Bible to Public Schools… It’s Happening!
",1
"Why Bernie Sanders Is Actually Winning: The Delegate Count Explained In 5 Easy Steps
",1
"High Court Greenlights Impeachment Proceedings For Alabama Governor
",0
"Student Loan Debt Has Nearly Tripled In The Last Decade
",0
"Dad Throws Son Off Bridge After Breaking His Apple Watch During WatchOS 3 Update
",1
"Police Arrest Suspect In Deadly Truck Attack In Stockholm
",0
"Neverland Ranch: Michael Jackson Kept Stockpile of Child Pornography At Home
",1
"Mark Zuckerberg to speak at Harvard commencement
",0
"Berlin ground staff strikes, hundreds of flights canceled
",0
"Michael Jordan To North Carolina: ‘HB2 Goes Or The Charlotte Hornets Go’
",1
"Accurate AI Machine Predicts Trump Presidency
",1
"Twentieth Century Fox Film Corporation v. Paul Horner
",1
"Dakota Access Caught Infiltrating Protests to Incite Violence, Funding Trolls Online
",1
"An Indian technologist creating factory jobs in America
",0
"Taser Changes Its Name To Axon And Offers Free Body Cameras For Police
",0
"A familiar name: Democrat Kennedy fights GOP on health care
",0
"Whiten Your Face By Using One Ingredient Wrinkles Will Disappear
",1
"A Real-Life Tax Scam: This Is What IRS Phone Fraud Sounds Like
",0
"Car bomb blast kills 6 near hotel in Somalia's capital
",0
"Bill Murray Kicks Off Presidential Campaign In South Carolina With A Bang
",1
"Prof Michel Chossudovsky discusses Hillary Clinton’s foreign policy & emerging nuclear risk
",1
"There’s A Reason Why Pizzas Have That Plastic Table In The Middle And It Makes Total Sense
",1
"James Hansen: What Makes A Scientist Take A Stand?
",0
"President Obama Signs Executive Order Banning The Sale Of Assault Weapons
",1
"Rep. Jeff Guice Sick Children Should Die If Their Parents Can’t Afford Medical Supplies
",1
"Black Bear From “The Revenant,” To Boycott Oscars Over Lack of Diversity
",1
"PIN DROP SPEECH BY FATHER OF DAUGHTER Kidnapped And Killed By ISIS: ""I have voted for Donald J. Trump!"" 
",1
"Swedish Gov’t Says Trump is RIGHT, Muslim Immigrants Ruined EVERYTHING
",1
"FANTASTIC! TRUMP'S 7 POINT PLAN To Reform Healthcare Begins With A Bombshell! 
",1
"FBI Director Comey’s ‘Leaked’ Memo Explains Why He’s Reopening the Clinton Email Case
",1
"BREAKING: Another Clinton Associate Set To Testify Against Hillary Found Dead
",1
"Rise of Mandatory Vaccinations Means the End of Medical Freedom
",1
"Can this Twitter account predict the future? Mysterious social media handle appears to have called Brexit, Trump and Beyonce being pregnant
",1
"Bill Murray Unwittingly Breaks Up Bank Robbery In Phoenix Arizona
",1
"SCANDAL: Hillary Clinton Advisers Probably Met With Russian Ambassador During 2016 Election
",1
"Mark Ruffalo Delivers Mobile Solar Trailers to Standing Rock Camps in Preparation for Harsh Winter
",1
"Taser Changes Its Name To Axon And Offers Free Body Cameras For Police
",0
"White Supremacists Trying To Recruit On College Campuses
",0
"Malaysia formally confirms man killed at airport was Kim Jong Nam
",0
"'Google buys ad space above search results to promote its own products - giving it an advantage over its online competitors'
",1
"Muslims TAKE OVER Major American City – Trump Saw This Coming
",1
"President Trump Has a BRILLIANT Plan to Resettle Syrian Refugees
",1
"UFO Investigator - MAX SPIERS - Found Dead After Vomiting Black Liquid
",1
"Clinton’s HIV Secret REVEALED – This Could END Hillary’s Campaign!
",1
"Hell and humanity in the shadow of ISIS
",0
"‘Beyonce, Jay Z, Hillary Clinton – You Don’t Represent All Blacks, Women
",1
"Turkey-Netherlands feud simmers as Dutch election looms
",0
"JUST IN: Muslim Migrants BLOCK Traffic On Highway – Then Do The Unthinkable
",1
"Germany Deports Native-Born Terrorism Suspects, In A First
",0
"North Carolina Governor Sets Up Hotline To Report Anyone Not Using Correct Bathroom
",1
"Donald Trump Announces Sheriff Joe Arpaio As His Vice Presidential Running Mate
",1
"Woman Searching For Boy Who Left $5 And Apology For Stealing On Her Door
",1
"Minister Creflo Dollar Now Wants $114MM For Luxury Yacht
",1
"Despite The Risks, Morphine Can Offer Hope
",0
"Why You Should Take Your Apple Cider Vinegar at Night!
",1
"THIS State Just Made A Major Move Against Obama’s Refugee Resettlement Program
",1
"Urgent! Media Blackout Happening Now on Syria—Here’s Why…WWIII??
",1
"BREAKING! NYPD Ready To Make Arrests In Weiner Case…Hillary Visited Pedophile Island At Least 6 Times…Money Laundering, Underage Sex, Pay-for-Play,Proof of Inappropriate Handling Classified Information 
",1
"WOW! WHITE Liberals Suggest Blacks Are Too Stupid To Get ID’s…Can’t Figure Out How To Use Internet
",1
"New McDonald’s In Scottsdale Run Entirely By Robots
",1
"How Two Georgia Tech Students Came Up With The Common App For Internships
",0
"Fighting Hate In Schools
",0
"Hillary Clinton Jumps the Shark with ‘Trump’s Secret Russian Server’ Conspiracy Theory
",1
"Just Weeks After Obama’s Executive Order on Catastrophic Space Weather Events, a Coronal Mass Ejection Is Set to Hit on Election Day
",1
"GUCCIFER 2.0: HACKED DOCS SHOW THEY KNEW BENGHAZI WAS A TERRORIST ATTACK, YET THEY LIED
",1
"High Court Greenlights Impeachment Proceedings For Alabama Governor
",0
"Meet the man taking over the House Russia probe
",0
"International Reactions To U.S. Strike On Syria Are Mixed
",0
"Donald Trump: ‘I’ll overturn the shocking gay marriage decision – trust me’
",1
"FDA Approves Marketing Of Consumer Genetic Tests For Some Conditions
",0
"State And Local Officials Wary Of Federal Government's Election Security EffortsShould Viewers Of Facebook Live Gang Rape Face Charges?
",0
"Holy Crap!! What Was This?! “Breathtaking UFO Footage 2017 | UFO Colliding in the Mountain”
",1
"Fox News Sues Snopes For $20 Million Over Story Calling Them A ‘Fake News Site’
",1
"Police Confirm At Least 4 People Dead After Attack Near U.K. Parliament
",0
"SpaceX makes history with used rocket
",0
"3 die in protests after South Korean president removed from office
",0
"Kansas Student Newspaper's Fact Check Results In New Principal's Resignation
",0
"Did You Know: Heimlich Maneuver Was Invented by Nazis?
",1
"Internet Erupts In Mockery After Sarah Palin Posts Something Monumentally Stupid Again
",1
"Mexico Says They Will Close Their Border if Trump is Elected
",1
"Hacking Blamed For Late Night Emergency Sirens In Dallas
",0
"KREMLIN: Putin Congratulates Trump, Hopes to Work Together Major Issue
",1
"New NASA Footage Films UFO Flying Pass
",1
"Computer Hacking Is Becoming Russia’s Weapon of Choice Says Professor
",1
"Feds Let 30,558 Illegal Criminals Go Free “They Were The Worst Of The Worst Law Breakers”
",1
"Re: Why Did Attorney General Loretta Lynch Plead The Fifth
",1
"Yahoo And AOL Move In Together Under 'Oath,' Verizon's New Digital Arm
",0
"BOOM! MATH SHOWS Trump Would Have Beaten Obama In Romney-Obama Election 
",1
"America’s Primal Scream: David Icke Explains Reason for Trump’s Election Result
",1
"At Trump And Xi's Meetings, Uncomfortable Talks Are The Order Of The Day
",0
"How Misinformation Spreads On The Internet And How To Stop It
",0
"Chicago Mayor's Plan To Update H.S. Graduation Has A Fatal Flaw
",0
"Officials warn of global religious extremism threat to China
",0
"Trump Team Urges Skimpier Health Plans To Lure More People To Buy Insurance
",0
"Hillary Goes Absolutely Berserk On Protester At Rally! (Video
",1
"Dalia Mogahed: How Does Speaking Up Change Minds?
",0
"Gay Wedding Mobile Vans Cashing In On The Legalization Of Gay Marriage
",1
"Steve Jobs Told Mark Zuckerberg To Visit This Temple For A Surprising Reason
",1
"GAO Will Investigate Skyrocketing Prices For Orphan Drugs
",0
"Concerns After Texas School Opens 'Prayer Room' That's Attracting Muslim Students
",0
"Father’s Day Nightmare: Caitlyn Jenner Snaps At Kim Kardashian, “Put The Lotion In The F-ing Basket!”
",1
"Pentagon Officials Furious After Clinton Announces US Response Time for Nuclear Launch During Debate
",1
"Alabama Governor's Impeachment Proceedings Are On Hold
",0
"Scientists Claim To Have Found 234 Alien Civilization
",1
"TRUMP SUPPORTER GOT NUTS On MSNBC Reporter Covering Anti-Trump Rioters [Video
",1
"Once An Alternative To Mainstream TV, YouTube Now Offers Just That With New Service
",0
"JULIAN ASSANGE TAKEN OFFLINE IN CYBER ATTACK BY US GOVERNMENT
",1
"He Was Walking When He Saw This Penny… So He Picks It Up And Realizes It’s Actually A Very Rare Coincident
",1
"Sound Matters: Sex And Death In The Rain Forest
",0
"Girl Put Aluminum Foil After Washing Her Hair and She Delighted The Best Hairdressers of The World
",1
"As Natives Declare Treaty Rights, Police Admit Defeat — Cite Lack of ‘Manpower’ To Remove DAPL Protester
",1
"Trump Supporters React To Syria Airstrikes
",0
"Kentucky coal museum switching to solar power
",0
"Earth’s Magnetic Field is COLLAPSING and The Poles Are About To Switch
",1
"Hillary Clinton Supporters Now Calling for a Recount of Votes in Battleground State
",1
"At Least 4 Dead, 20 Injured After Attack In London
",0
"WikiLeaks List Exposes At Least 65 Corporate ‘Presstitutes’ Who Colluded To Hide Clinton’s Crimes
",1
"Trump Using Brown Paper Bag Test at Rally’s, No Dark Skin Blacks Allowed
",1
"SORRY LIBERALS…You Can Stop With The Petitions…Hillary Did NOT Win The Popular Vote
",1
"MASSIVE TERROR ATTACK ROCKS SWEDEN – Trump Was Right
",1
"ANTI-TRUMP CROWD CHANTS: “What’s Better Than 11 Dead Cops, 12 Dead Cops!”…Three Police Officers Ambushed The Same Weekend
",1
"Donald Trump Picks Stacey Dash as His Vice President in Upcoming Election
",1
"MARK CUBAN: ""In The Event Donald Wins, I Have No Doubt The Market Tanks""…So Here's What Really Happened
",1
"OOPS! CRYBABY HAMILTON STARS Who Lectured Pence Haven't Voted In Years
",1
"Olympian Weeps When She Realizes She Won Her Country's First Ever Gold Medal
",1
"‘Intl Community Still Financing, Protecting Terrorists’ – Mother Agnes, Vanessa Beeley on Syri
",1
"CIA Admits Creating Trained Assassins Through Hypnosis and MK Ultra Mind Control
",1
"White House Hiring Stumbles As They Scour Candidates' Social Media For Dissent
",1
"EVIL HILLARY SUPPORTERS Yell ""F*ck Trump""…Burn Truck Of Daddy Fishing With 2 Yr Son Over Of Trump Bumper-Stickers [VIDEO] 
",1
"Morning News Brief: Trump Orders Syria Airstrikes, Hosts Chinese President
",0
"FLASHBACK - Hillary Clinton’s ‘KKK’ Smear Against Trump was Democrat Strateg
",1
"Kansas High School Student Explains What Led To Ousting Of New Principal
",0
"Hey Hillary, thanks for telling the world America’s response time for a nuclear launch
",1
"Federal Judge Approves Consent Decree To Overhaul Baltimore Police
",0
"KARMA! Starbucks CEO Tried To BULLY Trump- Now He’s Paying The Consequence!
",1
"The Supreme Court Rules In Favor Of A Special Education Student
",0
"Ted Cruz: “I Will Endorse Donald Trump For President If He Makes Masturbation Illegal”
",1
"They Hid MARS From Us Covering Over Whole Cities
",1
"Vince Gilligan Announces Breaking Bad Season 6; Returns This Summer – Walt Did Not Die!
",1
"Hillary's 33,000 emails might not be 'missing' after all
",1
"Twitter Sues Homeland Security To Protect Anonymity Of 'Alt Immigration' AccountComcast Goes Mobile With Cellphone Service For Existing Customers
",0
"When ISIS Shot At A U.S. Helicopter, The Revenge Was EPIC
",1
"WikiLeaks: Hillary Clinton knew Saudi, Qatar were funding ISIS – but still took their money for Foundation
",1
"Legal Marijuana Advocates Are Uneasy With Sessions' Stance
",0
"During World War I, U.S. Government Propaganda Erased German Culture
",0
"20 Spiritual Herbs for Activating Higher Consciousness, Awakening Intuition and Deep Healin
",1
"Breaking News: Mitt Romney announces he will enter Presidential race
",1
"States Find Other Execution Methods After Difficulties With Lethal Injection
",0
"TRUMP SUPPORTER Whose Brutal Beating By Black Mob Was Caught On Video Asks: “What Happened To America?”
",1
"'Game of Thrones' creators: Final season will only be six episodes
",0
"Pittsburgh Offers Driving Lessons For Uber's Autonomous Cars
",0
"The Toronto Star Published An ‘Unauthorized Database’ Of Things That Will INFURIATE Trump
",1
"US carrier heads to Korean Peninsula
",0
"Drug Kingpin Joaquin ‘El Chapo’ Guzman Escapes Mexican Prison For The Third Time
",1
"Hacker sets off emergency alarms in Dallas
",0
"Hillary and Trump Could Both Be Criminally Charged After The Election
",1
"Obama Promises To Have “BBQ Cookout” On White House Lawn Before End Of Presidency
",1
"Tampon Recall: Glyphosate Poisoning Sends Over 3,000 Tampon Wearers To Hospital
",1
"Obama's Syria mistake is Trump's problem
",0
"The Call-In: Rural Life
",0
"WikiLeaks CONFIRMS Hillary Sold Weapons to ISIS… Then Drops Another BOMBSHELL!
",1
"ISIS Says It Likes Killing Christians Most, Thanks America For Only Taking Muslim Refugees
",1
"Malicious Malik: Attention-seeking half-brother of Obama posts image of ex-president's 'Kenyan birth certificate' while declaring his support for Trump in series of bizarre and bitter tweets
",1
"The Amish In America Commit Their Vote To Donald Trump; Mathematically Guaranteeing Him A Presidential Victory
",1
"Donald Trump is a Genius – But That’s Just His IQ
",1
"Gorsuch confirmed to the Supreme Court
",0
"Christian Community In Uproar After Snopes “Debunks” Existence Of Jesus Christ
",1
"llege RA Reads A Bedtime Story To His Freshman And Becomes A Hit Meme
",1
"Obama Signs Executive Order Allowing Muslims To Swear On Quran Instead Of Bible In Court
",1
"Syria, Gorsuch, White House Infighting And The 'Nuclear Option'
",0
"The Big Lie | NASA Admits We’ve Never Been Out Of Low Earth Orbit
",1
"Google Accused Of Underpaying Female Employees
",0
"Lori Bakker: “Most Women Marchers Were Abused As Children, That Explains Their Immunity To The Father Figure Of Donald Trumm Brothers Aim To Ban LGBT People From Using Public Toilets “Because That Would Prevent Normal People’s Prayers In There”
",1
"Limits In GOP Plan Could Shrink Seniors' Long-Term Health Benefits
",0
"WHITE TRUMP-BASHING LIB Reprimanded On LIVE CNN Interview For Using “N-Word” 
",1
"Experts Suspect Nerve Agent Was Used In Syrian Attack
",0
"Trump’s Response to Kim Jong-un Will Escalate: How to Live Through it and Prosper Afterwards
",1
"Health star ratings Kellogg reveals the cereal
",1
"Retired teacher reunites with students
",0
"Taking Shortcuts In Drug Testing Can Put Patients At Risk
",0
"‘I Don’t Rent To N s’: Smoking Gun Proves Trump Family Racism (VIDEO) | Addicting Info | The Knowledge You 
",1
"Sean Spicer Handed Mid-Briefing Note Saying, “You Just Committed A Felony”
",1
"BREAKING: Capitol Hill Shooter Identified as Right Wing Extremist
",1
"GERMANY – LESS THAN 3 PERCENT OF “MIGRANTS” HAVE FOUND A JOB
",1
"US Led Coalition Continues Fight To Retake Mosul From ISIS
",0
"Michelle Obama Claims US Belongs To MUSLIMS – Trump Was Right
",1
"Dan Rather: 'We are a deeply divided country'
",0
"JEW RUN FACEBOOK TO PARTNER WITH DISREPUTABLE “FACT CHECKERS” TO CENSOR NEWS STORIES
",1
"Gov. Jerry Brown Lifts Drought Emergency For Most Of California
",0
"#BoycottComedian…ROBERT DENIRO Wanted “To Punch Trump In The Face”…Supports Anti-Trump Rioters…Now Wants Americans To Support His New Movie
",1
"Supreme Court's Decision About Printer Cartridges Could Have Big Consequences
",0
"NOT KIDDING: Colleges Give Students “Safe Spaces” To Cry Over Trump Win…Threaten Students Over Pro-Trump “Chalkings
",1
"Blogger goes on trial for playing 'Pokemon Go' in a church
",0
"Woman Gives “Vodka Butt Shots” At Bar, Causing Riot After Diarrhea Explosion
",1
"Malaysia says it will give Kim's family time to claim body
",0
"Ex-Secretary Of State Advocates Causes Not Key In Modern Republican Agenda
",0
"North Korea Missile Explodes Within Seconds Of Launch, U.S. Says
",0
"China grants Trump dozens of new trademarks
",0
"Michigan's Tart Cherry Orchards Struggle To Cope With Erratic Spring Weather
",0
"$429.6 Million Powerball Winner In New Jersey Comes Forward
",1
"A Roundtable On Trump, Syria And What Lies Ahead
",0
"New Study Claims Life DOES Exist On Mars And It Was Found By The Viking Lander in 1970
",1
"Two Attacks Target Coptic Christians In Egypt
",0
"Do U.S. Troops Risk Brain Injury When They Fire Heavy Weapons?
",0
"The Day After Tomorrow - but worse! 'Geostorm' trailer outlandishly depicts the end of the world
",1
"This Indonesian Volcano Is Deadly, But When Night Falls It Turns Into Something Stunningly Beautiful
",1
"Lost Abandoned Hanger – “What’s Inside Is Out of This World” and Will Blow Your Mind!
",1
"The Art of Chinese Face Reading: What Your Face Says About Your Personality and Future
",1
"Are We Witnessing The Beginning Of The End For Free Music Streaming?
",0
"BOOM! This Is How President Reagan Handled Protesters: ""Negotiate? What is there to negotiate?"" [Video] 
",1
"Activists Organize The World’s Biggest Marijuana Smoke Out To “Chill Out America”
",1
"FOX NEWS RADIO REPORTER LASHES OUT AT “NAZI” GATEWAY PUNDIT REPORTER IN WHITE HOUSE BRIEFING ROOM
",1
"ALERT: North Korea Preparing to Attack Hawaii, China Panicking
",1
"Ceremony In San Francisco Marks The 75th Anniversary Of The Bataan Death March
",0
"McCain calls on Trump to clarify wiretapping claim
",0
"Man Strangles Girlfriend To Death Because She “Wouldn’t Make Eye Contact With Him” While Talking To Her
",1
"CBS 60 Minutes Withheld Trump’s Appeal to ‘Stop Attacking Minorities,’ and Ignored Reports of Attacks on Trump Supporter
",1
"Girl Asks Her 20 Boyfriends To Each Give Her an iPhone, Uses The Money To Buy a House
",1
"Russian Lawyer In Corruption Investigation Badly Injured In Fall
",0
"Miracle Birth in Poland: A Baby Born in 55 Days After Its Mother’s Death
",1
"EPIC! TUCKER CARLSON Demolishes NYC Councilman Over Sanctuary Cities
",1
"AUDI CREATES DIESEL FUEL FROM WATER AND CO2 THAT LEAVES ZERO-CARBON FOOTPRINT
",1
"Senate Confirms Gorsuch To Supreme Court
",0
"Nunes steps aside in Russia probe
",0
"Robertson Said He Had Vision of Trump Seated ‘At the Right Hand of the Lord’
",1
"Paul Ryan If There Was A Legitimate Way To Have Intercourse And Not Get Pregnant God Would Have Included It In His Holy Books
",1
"Delta woes continue. More flights canceled
",0
"BREAKING: CLINTON CLEARED...Was This A Coordinated Last Minute Trick To Energize Hillary's Base? 
",1
"Lawsuit Alleges Seattle Mayor Ed Murray Raped Teen 30 Years Ago
",0
"Prince Contained Multitudes, New Book Confirms
",0
"WOW! WHISTLEBLOWER TELLS CHILLING STORY Of Massive Voter Fraud: Trump Campaign Readies Lawsuit Against FL Sec Of Elections In Critical District [VIDEO] 
",1
"No-Fly Zone Declared as Militarized Police Prep for Assault on “Front-Line Camp” at Standing Rock
",1
"The North East Just Got Devastating News… Please Send Your Prayers
",1
"Spicer: “Anyone Asking For Sessions To Recuse Himself Should Be ‘Ashamed’; The Russians He Spoke With Were On U.S. Soil, Which Makes Them Americans”
",1
"Mexico’s Richest Oligarch Loses Billions on News of Trump Victor
",1
"Former National Security Council Coordinator Reflects On Obama's Syria Policy
",0
"To anyone relying on the not enough troops to indicate concern defense
",1
"The United States Revokes Scientology’s Tax-Exempt Status
",1
"In Giant Virus Genes, Hints About Their Mysterious Origin
",0
"Federal Judge Approves Consent Decree To Overhaul Baltimore Police
",0
"Teachers, Lawyers And Others Worry About The Fate Of Student Debt Forgiveness
",0
"Terrifying News Out Of California… Trump Was Right
",1
"IT’S OVER: Hillary’s ISIS Email Just Leaked & It’s Worse Than Anyone Could Have Imagined…
",1
"Syria strikes signals a change for Trump
",0
"Los Angeles Police: 12 White Female Bodies in Garage Freezer Tagged, “Black Lives Matter”
",1
"What Is The U.S. Goal In Syria?
",0
"Neoconservative Paul Wolfowitz On Syria Airstrikes
",0
"Tensions rising between Turkish, European leaders before elections
",0
"Ted Cruz Ups The Stakes: “If Trump Debates Me One-On-One, I Will Wear Makeup”
",1
"FUNNY! SNL’S SOLUTION To Democrat Election Denial: “Safe Space For Everyone” 
",1
"What Should We Make Of The 'Tweetstorm' Or 'Thread,' Or Whatever You Call It?
",0
"UN Ambassador Nikki Haley says Syria regime change is 'inevitable'
",0
"BREAKING: Obama Tax Audit Turns Up MILLIONS In Offshore Accounts Stolen From Taxpayers
",1
"Twitter Withdraws Lawsuit After DHS Drops Demands For Alt-Account's Identity
",0
"Republicans Are Using An Obscure Law To Repeal Some Obama-Era Regulations
",0
"SHERIFF CLARKE On Obama’s Final Days: “Obama’s Like A Tenant Who’s Been Evicted From A Property, And He’s Gonna Trash The Place On The Way Out The Door” 
",1
"What Trump's Syria Airstrikes Accomplish
",0
"US aircraft carrier-led strike group headed towards Korean Peninsula
",0
"UN expert warns of rights impact of North Korea tests
",0
"BREAKING: Fraudulent Clinton Votes Discovered By The “Tens Of Thousands”
",1
"As Measles Surges In Europe, Officials Brace For A Rough Year
",0
"Airbnb bans host who made racist remark
",0
"TOMI LAHREN Has Special Message For Celebrities Who Said They'd Move To Canada If Trump Won [VIDEO] 
",1
"How Flawed Science Is Undermining Good Medicine
",0
"YIKES! HILLARY GOES OFF THE RAILS…Pulls A Howard Dean [Video
",1
"How Driverless Vehicles Could Harm Professional Drivers Of Color
",0
"Report Exposes Inner Workings of Facebook and How Clinton Loyalists Control Your Newsfeed
",1
